"","Size","species"
"437","110","Leucoraja ocellata"
"438","0.64","Limacina"
"439","64","Limanda ferruginea"
"446","42.5","Liopsetta putnami"
"447","13","Liparis atlanticus"
"448","11.8000001907349","Liparis coheni"
"449","21","Liparis fabricii"
"450","52","Liparis gibbus"
"451","7.09999990463257","Liparis inquilinus"
"452","19.5786363048987","Liparis liparis liparis"
"453","16","Liparis tunicatus"
"454","50","Lipogenys gillii"
"455","9","Liponema multicorne"
"456","11.8875","Lithodes maja"
"457","78.85","Loligo pealeii"
"459","16.4","Lophaster furcifer"
"460","1.2","Lophelia pertusa"
"461","120","Lophius americanus"
"463","125","Lopholatilus chamaeleonticeps"
"464","36.5","Lumpenus fabricii"
"465","50","Lumpenus lampretaeformis"
"466","45.8333333333333","Lumpenus maculatus"
"467","45.8333333333333","Lumpenus medius"
"468","17.5","Lycenchelys paxillus"
"469","23.043518560904","Lycenchelys verrilli"
"470","25","Lycenchelys verrillii"
"471","41.7640425499449","Lycodes esmarki"
"472","44.5","Lycodes eudipleurostictus"
"473","56","Lycodes lavalaei"
"474","26","Lycodes pallidus"
"475","25","Lycodes polaris"
"476","36","Lycodes reticulatus"
"477","41.7640425499449","Lycodes terraenova"
"478","45.2000007629395","Lycodes terraenovae"
"479","25","Lycodes turneri"
"480","52","Lycodes vahlii"
"481","3.95814814814815","Macoma"
"482","20","Macrorhamphosus scolopax"
"483","43","Macrostomias longibarbatus"
"484","110","Macrourus berglax"
"485","14.6","Mactromeris polynyma"
"486","2.5","Maera loveni"
"487","56","Magnisudis atlantica"
"488","45","Malacocephalus occidentalis"
"489","61","Malacoraja senta"
"490","25.6000003814697","Malacosteus niger"
"491","20","Mallotus villosus"
"492","0.924782608695652","Margarites"
"493","12.04","Mastigoteuthis"
"494","8","Maurolicus muelleri"
"495","20","Mediaster bairdi"
"497","1889.76","Megaptera novaeangliae"
"498","6.5","Megayoldia thraciaeformis"
"499","9.60000038146973","Melamphaes microps"
"500","10.6000003814697","Melamphaes suborbitalis"
"501","59","Melanitta fusca"
"503","54","Melanitta perspicillata"
"504","112","Melanogrammus aeglefinus"
"505","15","Melanostigma atlanticum"
"506","2.2","Melita dentata"
"507","15","Menidia menidia"
"508","32.2000007629395","Mentodus rostratus"
"509","13","Mercenaria mercenaria"
"512","40.5999984741211","Merluccius albidus"
"513","76","Merluccius bilinearis"
"514","8.35","Mesodesma"
"515","550","Mesoplodon bidens"
"516","470","Mesoplodon densirostris"
"517","450","Mesoplodon europaeus"
"518","560","Mesoplodon grayi"
"519","430","Mesoplodon hectori"
"520","500","Mesoplodon mirus"
"521","5","Metridium senile"
"522","38.0999984741211","Microgadus tomcod"
"523","55.5","Micromesistius poutassou"
"524","18","Modiolus modiolus"
"525","333","Mola mola"
"526","9.48749995231628","Molpadia"
"527","155","Molva dypterygia"
"528","470","Monodon monoceros"
"529","18","Monolene sessilicauda"
"530","0.4","Monstrilla"
"531","200","Morone saxatilis"
"532","93","Morus bassanus"
"533","100","Mugil cephalus"
"534","9.276","Munida iris"
"535","9.276","Munida valida"
"536","1.795","Munidopsis curvirostra"
"537","3","Musculus"
"538","150","Mustelus canis"
"539","10","Mya arenaria"
"540","8","Mya truncata"
"542","117.6","Mycteroperca"
"543","12.7","Myctophidae"
"544","44.8333333333333","Myoxocephalus"
"545","12.9375","Mytilus"
"546","95","Myxine glutinosa"
"547","3.6","Naticidae"
"548","70","Naucrates ductor"
"549","25","Nealotus tripes"
"550","130","Nemichthys scolopaceus"
"551","30.5","Neocyttus helgae"
"552","6","Neohela monstrosa"
"553","13.7","Neolithodes grimaldii"
"554","25","Neoscopelus macrolepidotus"
"555","11.747","Neptunea"
"556","60","Nessorhamphus ingolfianus"
"557","36","Nezumia aequalis"
"558","40","Nezumia bairdii"
"559","120","Notacanthus chemnitzii"
"560","34","Notolepis rissoi"
"561","15","Novodinia americana"
"562","4","Nucella lapillus"
"563","0.81","Nucula"
"564","1.06875","Nuculana"
"570","4.29","Nymphon"
"571","17.5","Oceanites"
"572","19","Oceanites oceanicus"
"573","22","Oceanodroma leucorhoa"
"574","25.0666666666667","Octopoteuthis"
"575","380","Odobenus rosmarus"
"576","2","Oediceros saginatus"
"577","0.2","Oithona spinirostris"
"578","45","Ommastrephes"
"579","23","Omosudis lowii"
"580","2.5","Oncopagurus"
"581","10.3368420412666","Oneirodes"
"582","5.5","Ophelia"
"583","10","Ophiacantha abyssicola"
"584","10","Ophiacantha bidentata"
"585","46.7000007629395","Ophichthus cruentifer"
"586","4","Ophiomusa lymani"
"587","3.8","Ophiopholis aculeata"
"588","8","Ophioscolex glacialis"
"589","0.3","Ophiura"
"590","3","Oplophorus spinosus"
"591","980","Orcinus orca"
"592","32.8999996185303","Osmerus mordax mordax"
"593","8.7","Ovalipes ocellatus"
"595","30","Pachycerianthus borealis"
"596","46","Pagophila eburnea"
"597","190","Pagophilus groenlandicus"
"598","1.35333333333333","Pagurus"
"599","1.20000004768372","Palio dubia"
"600","40","Palmaria palmata"
"601","12","Pandalus borealis"
"602","16","Pandalus montagui"
"604","3.5","Pandora gouldiana"
"605","11","Panomya norvegica"
"606","8.5","Parablennius marmoreus"
"607","40","Paragorgia arborea"
"608","31.7333335876465","Paralepis atlantica"
"609","21","Paralepis elongata"
"610","94","Paralichthys dentatus"
"611","14.1999998092651","Paraliparis calidus"
"612","15.9861249446869","Paraliparis copei"
"613","17","Paraliparis copei copei"
"614","14.1999998092651","Paraliparis garmani"
"615","2","Paramphithoe hystrix"
"616","7.1","Parapasiphae sulcatifrons"
"617","25","Parasudis truculenta"
"618","0.8","Parathemisto"
"619","1.3","Parvicardium pinnulatum"
"620","10.5","Pasiphaea multidentata"
"621","8.055","Pasiphaea tarda"
"622","9","Pelagia noctiluca"
"623","178","Pelecanus erythrorhynchos"
"624","10","Pennatula aculeata"
"625","20","Pennatula grandis"
"626","10","Pentamera calcigera"
"627","275","Peponocephala electra"
"628","30","Peprilus triacanthus"
"629","35","Periphylla periphylla"
"630","30","Peristedion miniatum"
"631","120","Petromyzon marinus"
"632","50","Phaethon aethereus"
"633","90","Phalacrocorax auritus"
"634","101","Phalacrocorax carbo"
"639","2.56666666666667","Phascolion strombus strombus"
"641","190","Phoca vitulina"
"642","200","Phocoena phocoena"
"643","30","Pholis fasciata"
"644","25","Pholis gunnellus"
"645","16","Photostomias guernei"
"646","2.5","Phronima"
"647","42","Phycis chesteri"
"648","2400","Physeter catodon"
"649","2400","Physeter macrocephalus"
"652","16.8999996185303","Plesionika martia"
"653","2.5","Pleurobrachia pileus"
"654","2.5","Plutonaster agassizi"
"655","28","Pluvialis apricaria"
"656","28","Pluvialis dominica"
"657","28","Pluvialis squatarola"
"658","33","Podiceps auritus"
"659","33","Podiceps cristatus"
"660","33","Podiceps grisegena"
"662","130","Pollachius virens"
"663","9.5","Polyacanthonotus rissoanus"
"664","6.61333333333333","Polycheles sculptus"
"665","6","Polyipnus clarus"
"666","26","Polymetme corythaeola"
"667","20","Polymixia lowei"
"668","48","Polymixia nobilis"
"669","9","Polynoidae"
"670","130","Pomatomus saltatrix"
"671","6.8","Pontaster"
"672","5.2","Pontophilus norvegicus"
"673","10","Porania pulvillus"
"674","7","Poraniomorpha"
"675","20","Porifera"
"676","14.8000001907349","Poromitra crassiceps"
"679","4.5","Potamilla neglecta"
"680","25","Primnoa resedaeformis"
"681","400","Prionace glauca"
"682","38","Prionotus carolinus"
"683","20","Pseudarchaster parelii"
"684","64","Pseudopleuronectes americanus"
"685","600","Pseudorca crassidens"
"686","14.328125","Pseudoscopelus"
"687","10","Psilaster andromeda"
