"","Size","species"
"439","110","Leucoraja ocellata"
"440","0.64","Limacina"
"441","64","Limanda ferruginea"
"448","42.5","Liopsetta putnami"
"449","13","Liparis atlanticus"
"450","11.8000001907349","Liparis coheni"
"451","21","Liparis fabricii"
"452","52","Liparis gibbus"
"453","7.09999990463257","Liparis inquilinus"
"454","19.5786363048987","Liparis liparis liparis"
"455","16","Liparis tunicatus"
"456","50","Lipogenys gillii"
"457","9","Liponema multicorne"
"458","11.8875","Lithodes maja"
"459","78.85","Loligo pealeii"
"461","16.4","Lophaster furcifer"
"462","1.2","Lophelia pertusa"
"463","120","Lophius americanus"
"465","125","Lopholatilus chamaeleonticeps"
"466","36.5","Lumpenus fabricii"
"467","50","Lumpenus lampretaeformis"
"468","45.8333333333333","Lumpenus maculatus"
"469","45.8333333333333","Lumpenus medius"
"470","17.5","Lycenchelys paxillus"
"471","23.043518560904","Lycenchelys verrilli"
"472","25","Lycenchelys verrillii"
"473","41.7640425499449","Lycodes esmarki"
"474","44.5","Lycodes eudipleurostictus"
"475","56","Lycodes lavalaei"
"476","26","Lycodes pallidus"
"477","25","Lycodes polaris"
"478","36","Lycodes reticulatus"
"479","41.7640425499449","Lycodes terraenova"
"480","45.2000007629395","Lycodes terraenovae"
"481","25","Lycodes turneri"
"482","52","Lycodes vahlii"
"483","3.95814814814815","Macoma"
"484","20","Macrorhamphosus scolopax"
"485","43","Macrostomias longibarbatus"
"486","110","Macrourus berglax"
"487","14.6","Mactromeris polynyma"
"488","2.5","Maera loveni"
"489","56","Magnisudis atlantica"
"490","45","Malacocephalus occidentalis"
"491","61","Malacoraja senta"
"492","25.6000003814697","Malacosteus niger"
"493","20","Mallotus villosus"
"494","0.924782608695652","Margarites"
"495","12.04","Mastigoteuthis"
"496","8","Maurolicus muelleri"
"497","20","Mediaster bairdi"
"499","1889.76","Megaptera novaeangliae"
"500","6.5","Megayoldia thraciaeformis"
"501","9.60000038146973","Melamphaes microps"
"502","10.6000003814697","Melamphaes suborbitalis"
"503","56.5","Melanitta"
"504","59","Melanitta fusca"
"506","54","Melanitta perspicillata"
"507","112","Melanogrammus aeglefinus"
"508","15","Melanostigma atlanticum"
"509","2.2","Melita dentata"
"510","15","Menidia menidia"
"511","32.2000007629395","Mentodus rostratus"
"512","13","Mercenaria mercenaria"
"515","40.5999984741211","Merluccius albidus"
"516","76","Merluccius bilinearis"
"517","8.35","Mesodesma"
"518","550","Mesoplodon bidens"
"519","470","Mesoplodon densirostris"
"520","450","Mesoplodon europaeus"
"521","560","Mesoplodon grayi"
"522","430","Mesoplodon hectori"
"523","500","Mesoplodon mirus"
"524","5","Metridium senile"
"525","38.0999984741211","Microgadus tomcod"
"526","55.5","Micromesistius poutassou"
"527","18","Modiolus modiolus"
"528","333","Mola mola"
"529","9.48749995231628","Molpadia"
"530","155","Molva dypterygia"
"531","470","Monodon monoceros"
"532","18","Monolene sessilicauda"
"533","0.4","Monstrilla"
"534","200","Morone saxatilis"
"535","93","Morus bassanus"
"536","100","Mugil cephalus"
"537","9.276","Munida iris"
"538","9.276","Munida valida"
"539","1.795","Munidopsis curvirostra"
"540","3","Musculus"
"541","150","Mustelus canis"
"542","10","Mya arenaria"
"543","8","Mya truncata"
"545","117.6","Mycteroperca"
"546","12.7","Myctophidae"
"547","44.8333333333333","Myoxocephalus"
"548","12.9375","Mytilus"
"549","95","Myxine glutinosa"
"550","3.6","Naticidae"
"551","70","Naucrates ductor"
"552","25","Nealotus tripes"
"553","130","Nemichthys scolopaceus"
"554","30.5","Neocyttus helgae"
"555","6","Neohela monstrosa"
"556","13.7","Neolithodes grimaldii"
"557","25","Neoscopelus macrolepidotus"
"558","11.747","Neptunea"
"559","60","Nessorhamphus ingolfianus"
"560","36","Nezumia aequalis"
"561","40","Nezumia bairdii"
"562","120","Notacanthus chemnitzii"
"563","34","Notolepis rissoi"
"564","15","Novodinia americana"
"565","4","Nucella lapillus"
"566","0.81","Nucula"
"567","1.06875","Nuculana"
"573","4.29","Nymphon"
"574","17.5","Oceanites"
"575","19","Oceanites oceanicus"
"576","22","Oceanodroma leucorhoa"
"577","25.0666666666667","Octopoteuthis"
"578","380","Odobenus rosmarus"
"579","2","Oediceros saginatus"
"580","0.2","Oithona spinirostris"
"581","45","Ommastrephes"
"582","23","Omosudis lowii"
"583","2.5","Oncopagurus"
"584","10.3368420412666","Oneirodes"
"585","5.5","Ophelia"
"586","10","Ophiacantha abyssicola"
"587","10","Ophiacantha bidentata"
"588","46.7000007629395","Ophichthus cruentifer"
"589","4","Ophiomusa lymani"
"590","3.8","Ophiopholis aculeata"
"591","8","Ophioscolex glacialis"
"592","0.3","Ophiura"
"593","3","Oplophorus spinosus"
"594","980","Orcinus orca"
"595","32.8999996185303","Osmerus mordax mordax"
"596","8.7","Ovalipes ocellatus"
"598","30","Pachycerianthus borealis"
"599","46","Pagophila eburnea"
"600","190","Pagophilus groenlandicus"
"601","1.35333333333333","Pagurus"
"602","1.20000004768372","Palio dubia"
"603","40","Palmaria palmata"
"604","12","Pandalus borealis"
"605","16","Pandalus montagui"
"607","3.5","Pandora gouldiana"
"608","11","Panomya norvegica"
"609","8.5","Parablennius marmoreus"
"610","40","Paragorgia arborea"
"611","31.7333335876465","Paralepis atlantica"
"612","21","Paralepis elongata"
